,iv,iv_interpretation
image,1.4037754598149599,suspicious
content_size,0.587378960809095,suspicious
time,0.34748583774542013,strong
bin,0.34748583774542013,strong
link,0.003932714314108576,useless
language,0.0021809023777174825,useless
