post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,images
10158540351449584,"Brisa de Angulo didn’t get justice when she was raped as a teen. She endured three trials in Bolivia, but her rapist has yet to be held accountable for any of his crimes. In 2012, Brisa filed a case before the Inter-American Commission of Human Rights, who referred it to the Inter-American Court of Human Rights this past August 7th, 2020. Today, Equality Now and the rest of Brisa's legal team officially filed the brief for Brisa’s case before the Court, with the hearing expected in 2021. Now, almost 20 years after her ordeal started, her case could set a legal precedent in Bolivia and for the Americas which all member States would be held to, improving the lives of girls and women throughout the Western Hemisphere.

EQUALITYNOW.ORG
An Important Step Toward Accountability for Sexual Violence in Bolivia and Beyond","Brisa de Angulo didn’t get justice when she was raped as a teen. She endured three trials in Bolivia, but her rapist has yet to be held accountable for any of his crimes. In 2012, Brisa filed a case before the Inter-American Commission of Human Rights, who referred it to the Inter-American Court of Human Rights this past August 7th, 2020. Today, Equality Now and the rest of Brisa's legal team officially filed the brief for Brisa’s case before the Court, with the hearing expected in 2021. Now, almost 20 years after her ordeal started, her case could set a legal precedent in Bolivia and for the Americas which all member States would be held to, improving the lives of girls and women throughout the Western Hemisphere.","EQUALITYNOW.ORG
An Important Step Toward Accountability for Sexual Violence in Bolivia and Beyond",2020-11-21 02:16:07,,,,,14,1,0,https://facebook.com/story.php?story_fbid=10158540351449584&id=13649914583,https://www.equalitynow.org/brisa_iachr_case_referral,13649914583,[]
10158539813204584,"""This #WorldChildrensDay, we must continue to dismantle systems that perpetuate #inequality and call on governments to address discriminatory laws and policies so that every girl can lead a life of her own making.""

Read more from our Africa Regional Director, Faiza Jama Mohamed, in Ms. Magazine

#GirlsRights #SmashThePatriarchy #GenderEquality

MSMAGAZINE.COM
COVID-19 Threatens Decades of Progress on Gender Equality. This World Children’s Day, We Must Fight Back. - Ms. Magazine","""This #WorldChildrensDay, we must continue to dismantle systems that perpetuate #inequality and call on governments to address discriminatory laws and policies so that every girl can lead a life of her own making.""

Read more from our Africa Regional Director, Faiza Jama Mohamed, in Ms. Magazine

#GirlsRights #SmashThePatriarchy #GenderEquality","MSMAGAZINE.COM
COVID-19 Threatens Decades of Progress on Gender Equality. This World Children’s Day, We Must Fight Back. - Ms. Magazine",2020-11-20 21:21:35,,,,,16,0,0,https://facebook.com/story.php?story_fbid=10158539813204584&id=13649914583,https://msmagazine.com/2020/11/20/covid-19-threatens-decades-of-progress-on-gender-equality-this-world-childrens-day-we-must-fight-back/,13649914583,[]
10158536820324584,"Two years ago, Imani* was raped by her neighbor and became pregnant as a result. She was 16 at the time and in primary school back in Moshi, Tanzania.

Imani loved sciences and geography and wanted to work as a doctor or a nurse when she completed her studies.

Imani represents tens of thousands of adolescent school-going girls in Tanzania who can longer access education owing to the ban prohibiting pregnant girls and teenage mothers from attending school.

And despite numerous efforts urging Tanzania to lift the ban, lack of political will has been a great obstacle.

We, in collaboration with our partners, have therefore today filed a case against Tanzania at the African Court on Human and People’s Rights in Arusha to challenge this policy and have it lifted.

We stand with Imani and every other girl that she represents. Do you?

Share this post to demand that Tanzania #LetGirlsLearn and read more about the filing on our website ➡️ https://bit.ly/2ITDn0B

#EndSexualViolence #WaacheMabintiWasome #WorldChildrensDay #WorldChildrensDay2020 #GirlsRights #GirlsEducation

EQUALITYNOW.ORG
Court case filed against Tanzania to overturn ban on pregnant girls attending school","Two years ago, Imani* was raped by her neighbor and became pregnant as a result. She was 16 at the time and in primary school back in Moshi, Tanzania.

Imani loved sciences and geography and wanted to work as a doctor or a nurse when she completed her studies.

Imani represents tens of thousands of adolescent school-going girls in Tanzania who can longer access education owing to the ban prohibiting pregnant girls and teenage mothers from attending school.

And despite numerous efforts urging Tanzania to lift the ban, lack of political will has been a great obstacle.

We, in collaboration with our partners, have therefore today filed a case against Tanzania at the African Court on Human and People’s Rights in Arusha to challenge this policy and have it lifted.

We stand with Imani and every other girl that she represents. Do you?

Share this post to demand that Tanzania #LetGirlsLearn and read more about the filing on our website ➡️ https://bit.ly/2ITDn0B

#EndSexualViolence #WaacheMabintiWasome #WorldChildrensDay #WorldChildrensDay2020 #GirlsRights #GirlsEducation","EQUALITYNOW.ORG
Court case filed against Tanzania to overturn ban on pregnant girls attending school",2020-11-19 16:34:40,,,,,157,17,71,https://facebook.com/story.php?story_fbid=10158536820324584&id=13649914583,https://bit.ly/2ITDn0B,13649914583,[]
10158535209849584,"An analysis of Kuwait’s Penal Code released today by Equality Now and Abolish Article 153, reveals the extent to which Kuwait’s laws are failing to protect women and girls:

➡️ Article 182 allows rapists to escape punishment by marrying the woman or girl they raped, a provision actively condones and rewards sexual violence

➡️ Article 153 provides a lenient sentence for a man who kills his female relatives, a provision rooted in valuing ‘honor’ over the human rights of women and girls;

➡️ the Penal Code does not explicitly criminalize marital rape, leaving women vulnerable to sexual violence committed with impunity

➡️ and the definition of rape is reliant on the use of force, threats or deception rather than being grounded in consent.

It’s time to abolish laws that see women and girls as vessels of their family’s honor, and build an equal world that works for our mothers, our sisters, our daughters, our friends, our communities. Join Kuwaiti activists calling for reform today.

#EndSexualViolence #MarryYourRapist

EQUALITYNOW.ORG
Justice over honor: Kuwait should amend its Penal Code to protect women and girls from sexual violence","An analysis of Kuwait’s Penal Code released today by Equality Now and Abolish Article 153, reveals the extent to which Kuwait’s laws are failing to protect women and girls:

➡️ Article 182 allows rapists to escape punishment by marrying the woman or girl they raped, a provision actively condones and rewards sexual violence

➡️ Article 153 provides a lenient sentence for a man who kills his female relatives, a provision rooted in valuing ‘honor’ over the human rights of women and girls;

➡️ the Penal Code does not explicitly criminalize marital rape, leaving women vulnerable to sexual violence committed with impunity

➡️ and the definition of rape is reliant on the use of force, threats or deception rather than being grounded in consent.

It’s time to abolish laws that see women and girls as vessels of their family’s honor, and build an equal world that works for our mothers, our sisters, our daughters, our friends, our communities. Join Kuwaiti activists calling for reform today.

#EndSexualViolence #MarryYourRapist","EQUALITYNOW.ORG
Justice over honor: Kuwait should amend its Penal Code to protect women and girls from sexual violence",2020-11-19 10:45:34,,,,,140,3,5,https://facebook.com/story.php?story_fbid=10158535209849584&id=13649914583,https://www.equalitynow.org/justice_over_honor,13649914583,[]
10158533337459584,"Really glad that a bill to expand abortion access in Argentina has finally been sent to Congress. If passed, it will make a big impact for sexual violence survivors and others. Well done to all those who've worked so hard to get here!

IN.REUTERS.COM
Argentina's Fernandez sends delayed abortion bill to Congress","Really glad that a bill to expand abortion access in Argentina has finally been sent to Congress. If passed, it will make a big impact for sexual violence survivors and others. Well done to all those who've worked so hard to get here!","IN.REUTERS.COM
Argentina's Fernandez sends delayed abortion bill to Congress",2020-11-18 02:12:11,,,,,25,0,2,https://facebook.com/story.php?story_fbid=10158533337459584&id=13649914583,https://in.reuters.com/article/argentina-abortion/argentinas-fernandez-sends-delayed-abortion-bill-to-congress-idINL1N2I32EN,13649914583,[]
10158532826404584,"Equality Now is honored to count Margaret Atwood as part of our family, and we are grateful for her support and tenacity. Her commitment to justice for women and girls inspires us every day.

In honor of her birthday tomorrow, share your favorite Margaret Atwood books or quotes in the comments below 👇

#TheHandmaidsTale #TheTestaments #BlessedBe #HopeLivesInEveryName

EQUALITYNOW.ORG
10 Times Margaret Atwood spoke up about women's rights, equality & climate change","Equality Now is honored to count Margaret Atwood as part of our family, and we are grateful for her support and tenacity. Her commitment to justice for women and girls inspires us every day.

In honor of her birthday tomorrow, share your favorite Margaret Atwood books or quotes in the comments below 👇

#TheHandmaidsTale #TheTestaments #BlessedBe #HopeLivesInEveryName","EQUALITYNOW.ORG
10 Times Margaret Atwood spoke up about women's rights, equality & climate change",2020-11-17 21:14:21,,,,,17,1,3,https://facebook.com/story.php?story_fbid=10158532826404584&id=13649914583,https://www.equalitynow.org/margaret_atwood_birthday,13649914583,[]
10158530888764584,"""We cannot allow women & girls, especially those from marginalized communities, to be collateral damage in the fight against the #coronavirus.""

Equality Now's Americas Regional Coordinator, Bárbara Jiménez-Santiago, condemns #Mexico's cuts to services for women & girls amid spiraling rates of #GenderBasedViolence in Fair Observer.

FAIROBSERVER.COM
Mexico’s Cuts to Services Put Women at Risk","""We cannot allow women & girls, especially those from marginalized communities, to be collateral damage in the fight against the #coronavirus.""

Equality Now's Americas Regional Coordinator, Bárbara Jiménez-Santiago, condemns #Mexico's cuts to services for women & girls amid spiraling rates of #GenderBasedViolence in Fair Observer.","FAIROBSERVER.COM
Mexico’s Cuts to Services Put Women at Risk",2020-11-16 23:19:16,,,,,14,0,0,https://facebook.com/story.php?story_fbid=10158530888764584&id=13649914583,https://www.fairobserver.com/region/latin_america/barbara-jimenez-santiago-mexico-gender-violence-inequality-pandemic-budget-cuts-womens-rights-news-16821/,13649914583,[]
10158528834324584,"Equality Now has remained a beacon for women's rights during this tumultuous year, and you can help support our work by buying from these brands who celebrate gender equality and the power of women. Equality Now is proud to partner with businesses and companies that put women at the core of their mission, and promote values of inclusivity, transparency, and equality.

We compiled a list of some amazing feminist brands you can confidently support, knowing they are doing their part to create a just world for women and girls. Buy gifts that make a difference this year.

https://www.equalitynow.org/feminist_gift_guide_2020

EQUALITYNOW.ORG
Shop for Equality: Your 2020 Feminist Gift Guide","Equality Now has remained a beacon for women's rights during this tumultuous year, and you can help support our work by buying from these brands who celebrate gender equality and the power of women. Equality Now is proud to partner with businesses and companies that put women at the core of their mission, and promote values of inclusivity, transparency, and equality.

We compiled a list of some amazing feminist brands you can confidently support, knowing they are doing their part to create a just world for women and girls. Buy gifts that make a difference this year.

https://www.equalitynow.org/feminist_gift_guide_2020","EQUALITYNOW.ORG
Shop for Equality: Your 2020 Feminist Gift Guide",2020-11-16 00:49:48,,,,,11,0,0,https://facebook.com/story.php?story_fbid=10158528834324584&id=13649914583,https://www.equalitynow.org/feminist_gift_guide_2020,13649914583,[]
10158526234494584,"Now is the time to build a world we want to live in, using the law to create an equal world that is safe for our mothers, our sisters, our daughters, our friends, our communities. Are you in?

Read more 👉 equalitynow.org/change_the_game","Now is the time to build a world we want to live in, using the law to create an equal world that is safe for our mothers, our sisters, our daughters, our friends, our communities. Are you in?

Read more 👉 equalitynow.org/change_the_game",,2020-11-15 01:38:34,https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125020750_10158526234504584_475806098986266337_o.jpg?_nc_cat=105&ccb=2&_nc_sid=da1649&_nc_ohc=Vb1As0Lb4GsAX_SCGn1&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=a8430a69671cea94a5cde509f5732f7d&oe=5FF67A32,,,,29,0,0,,http://equalitynow.org/change_the_game,13649914583,"['https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125020750_10158526234504584_475806098986266337_o.jpg?_nc_cat=105&ccb=2&_nc_sid=da1649&_nc_ohc=Vb1As0Lb4GsAX_SCGn1&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=a8430a69671cea94a5cde509f5732f7d&oe=5FF67A32', 'https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125020750_10158526234504584_475806098986266337_o.jpg?_nc_cat=105&ccb=2&_nc_sid=da1649&_nc_ohc=Vb1As0Lb4GsAX_SCGn1&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=a8430a69671cea94a5cde509f5732f7d&oe=5FF67A32', 'https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125020750_10158526234504584_475806098986266337_o.jpg?_nc_cat=105&ccb=2&_nc_sid=da1649&_nc_ohc=Vb1As0Lb4GsAX_SCGn1&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=a8430a69671cea94a5cde509f5732f7d&oe=5FF67A32']"
10158521740474584,"What are you doing on December 3rd? Fancy spending the evening with Karamo Brown and Margaret Atwood from the comfort of your living room? Join us at our first-ever, virtual global gala.

Join us and some of your favorite artists and activists for an unforgettable evening spotlighting those who inspire us, support us, and help us take action in the fight for equal rights for women and girls around the world.

For the first time ever, we are excited to announce that our gala will be broadcast live to a global audience.

Register to watch the live broadcast for free today

👉👉 equalitynow.org/gala_2020 👈👈","What are you doing on December 3rd? Fancy spending the evening with Karamo Brown and Margaret Atwood from the comfort of your living room? Join us at our first-ever, virtual global gala.

Join us and some of your favorite artists and activists for an unforgettable evening spotlighting those who inspire us, support us, and help us take action in the fight for equal rights for women and girls around the world.

For the first time ever, we are excited to announce that our gala will be broadcast live to a global audience.

Register to watch the live broadcast for free today

👉👉 equalitynow.org/gala_2020 👈👈",,2020-11-13 02:42:52,https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125200233_10158521726129584_2660783140610615890_o.jpg?_nc_cat=103&ccb=2&_nc_sid=8024bb&_nc_ohc=XkHzXkPBaU4AX9EiyTF&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=6b9d9f5812171be237ce983511dc1881&oe=5FF81B24,,,,15,1,0,https://facebook.com/story.php?story_fbid=10158521740474584&id=13649914583,http://equalitynow.org/gala_2020,13649914583,['https://scontent.fadd1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/125200233_10158521726129584_2660783140610615890_o.jpg?_nc_cat=103&ccb=2&_nc_sid=8024bb&_nc_ohc=XkHzXkPBaU4AX9EiyTF&_nc_ht=scontent.fadd1-1.fna&tp=14&oh=6b9d9f5812171be237ce983511dc1881&oe=5FF81B24']
